#    time(ps)        R(t,x=0)       J(t,x=L)
   0.365000E+02   0.539192E+04   0.549782E+02
   0.366000E+02   0.539340E+04   0.554228E+02
   0.367000E+02   0.539486E+04   0.558687E+02
   0.368000E+02   0.539632E+04   0.563157E+02
   0.369000E+02   0.539778E+04   0.567639E+02
   0.370000E+02   0.539922E+04   0.572133E+02
   0.371000E+02   0.540067E+04   0.576638E+02
   0.372000E+02   0.540210E+04   0.581155E+02
   0.373000E+02   0.540354E+04   0.585683E+02
   0.374000E+02   0.540496E+04   0.590222E+02
   0.375000E+02   0.540638E+04   0.594772E+02
   0.376000E+02   0.540780E+04   0.599334E+02
   0.377000E+02   0.540920E+04   0.603906E+02
   0.378000E+02   0.541061E+04   0.608489E+02
   0.379000E+02   0.541201E+04   0.613083E+02
   0.380000E+02   0.541340E+04   0.617687E+02
   0.381000E+02   0.541479E+04   0.622302E+02
   0.382000E+02   0.541617E+04   0.626927E+02
   0.383000E+02   0.541754E+04   0.631563E+02
   0.384000E+02   0.541892E+04   0.636209E+02
   0.385000E+02   0.542028E+04   0.640864E+02
   0.386000E+02   0.542164E+04   0.645530E+02
   0.387000E+02   0.542300E+04   0.650205E+02
   0.388000E+02   0.542435E+04   0.654891E+02
   0.389000E+02   0.542569E+04   0.659586E+02
   0.390000E+02   0.542703E+04   0.664290E+02
   0.391000E+02   0.542837E+04   0.669004E+02
   0.392000E+02   0.542970E+04   0.673727E+02
   0.393000E+02   0.543102E+04   0.678460E+02
   0.394000E+02   0.543235E+04   0.683201E+02
   0.395000E+02   0.543366E+04   0.687952E+02
   0.396000E+02   0.543497E+04   0.692711E+02
   0.397000E+02   0.543628E+04   0.697479E+02
   0.398000E+02   0.543758E+04   0.702256E+02
   0.399000E+02   0.543887E+04   0.707042E+02
   0.400000E+02   0.544016E+04   0.711836E+02
   0.401000E+02   0.544145E+04   0.716639E+02
   0.402000E+02   0.544273E+04   0.721450E+02
   0.403000E+02   0.544401E+04   0.726269E+02
   0.404000E+02   0.544528E+04   0.731096E+02
   0.405000E+02   0.544655E+04   0.735931E+02
   0.406000E+02   0.544781E+04   0.740774E+02
   0.407000E+02   0.544907E+04   0.745625E+02
   0.408000E+02   0.545032E+04   0.750483E+02
   0.409000E+02   0.545157E+04   0.755350E+02
   0.410000E+02   0.545282E+04   0.760223E+02
   0.411000E+02   0.545406E+04   0.765105E+02
   0.412000E+02   0.545529E+04   0.769993E+02
   0.413000E+02   0.545653E+04   0.774889E+02
   0.414000E+02   0.545775E+04   0.779792E+02
   0.415000E+02   0.545897E+04   0.784702E+02
   0.416000E+02   0.546019E+04   0.789618E+02
   0.417000E+02   0.546141E+04   0.794542E+02
   0.418000E+02   0.546262E+04   0.799472E+02
   0.419000E+02   0.546382E+04   0.804410E+02
   0.420000E+02   0.546502E+04   0.809353E+02
   0.421000E+02   0.546622E+04   0.814303E+02
   0.422000E+02   0.546741E+04   0.819260E+02
   0.423000E+02   0.546860E+04   0.824223E+02
   0.424000E+02   0.546979E+04   0.829192E+02
   0.425000E+02   0.547097E+04   0.834167E+02
   0.426000E+02   0.547214E+04   0.839148E+02
   0.427000E+02   0.547332E+04   0.844135E+02
   0.428000E+02   0.547448E+04   0.849128E+02
   0.429000E+02   0.547565E+04   0.854126E+02
   0.430000E+02   0.547681E+04   0.859131E+02
   0.431000E+02   0.547796E+04   0.864141E+02
   0.432000E+02   0.547912E+04   0.869156E+02
   0.433000E+02   0.548026E+04   0.874177E+02
   0.434000E+02   0.548141E+04   0.879203E+02
   0.435000E+02   0.548255E+04   0.884234E+02
   0.436000E+02   0.548369E+04   0.889270E+02
   0.437000E+02   0.548482E+04   0.894311E+02
   0.438000E+02   0.548595E+04   0.899358E+02
   0.439000E+02   0.548707E+04   0.904409E+02
   0.440000E+02   0.548819E+04   0.909465E+02
   0.441000E+02   0.548931E+04   0.914526E+02
   0.442000E+02   0.549042E+04   0.919591E+02
   0.443000E+02   0.549153E+04   0.924661E+02
   0.444000E+02   0.549264E+04   0.929735E+02
   0.445000E+02   0.549374E+04   0.934814E+02
   0.446000E+02   0.549484E+04   0.939897E+02
   0.447000E+02   0.549594E+04   0.944984E+02
   0.448000E+02   0.549703E+04   0.950075E+02
   0.449000E+02   0.549812E+04   0.955170E+02
   0.450000E+02   0.549920E+04   0.960269E+02
   0.451000E+02   0.550028E+04   0.965372E+02
   0.452000E+02   0.550136E+04   0.970479E+02
   0.453000E+02   0.550243E+04   0.975590E+02
   0.454000E+02   0.550351E+04   0.980704E+02
   0.455000E+02   0.550457E+04   0.985822E+02
   0.456000E+02   0.550564E+04   0.990943E+02
   0.457000E+02   0.550670E+04   0.996068E+02
   0.458000E+02   0.550775E+04   0.100120E+03
   0.459000E+02   0.550881E+04   0.100633E+03
   0.460000E+02   0.550986E+04   0.101146E+03
   0.461000E+02   0.551090E+04   0.101660E+03
   0.462000E+02   0.551194E+04   0.102174E+03
   0.463000E+02   0.551298E+04   0.102688E+03
   0.464000E+02   0.551402E+04   0.103203E+03
   0.465000E+02   0.551505E+04   0.103718E+03
   0.466000E+02   0.551608E+04   0.104233E+03
   0.467000E+02   0.551711E+04   0.104748E+03
   0.468000E+02   0.551813E+04   0.105264E+03
   0.469000E+02   0.551915E+04   0.105780E+03
   0.470000E+02   0.552017E+04   0.106296E+03
